Recall@Threshold,Precision@Threshold,F1@Threshold,FPR@Threshold,Model,ROC-AUC,PR-AUC,LogLoss,BrierScore,BalancedAccuracy@Threshold
0.8121444635533801,0.1487413078768202,0.2514334862385321,0.5718331407366417,ExtraTrees,0.7105198010477815,0.2818218485700105,0.5901416031521393,0.199925998304603,0.6201556614083692
0.7971953962164308,0.14929884544868935,0.25149725590033595,0.5588450708810078,LogisticRegression,0.7051401174602073,0.29460055386904205,0.6179397770735312,0.21363965839682666,0.6191751626677114
0.7146447942849583,0.175766252358951,0.2821403389653461,0.41229797692094855,RandomForest,0.7193192968470841,0.2950973394170491,0.5502337724972044,0.1820790506951478,0.6511734086820049
0.41923534859108347,0.29201990416513085,0.3442507196784531,0.12504679285818915,XGBoostDeep,0.7247934699421855,0.3152846306653552,0.38712751106333415,0.11476315557956696,0.6470942778664471
0.2917052520174626,0.373349136471385,0.3275157816561456,0.060236649794111426,XGBoostRaw,0.7259117378901714,0.31679543905339136,0.33750914541388405,0.09680647403001785,0.6157343011116756
0.20677338272258236,0.4265829694323144,0.2785351510291366,0.03419540697579792,ExtraTreesTuned,0.7157254270560671,0.3014948904341272,0.36260841716492226,0.10245421082007805,0.5862889878733922
0.2018785553644662,0.44308943089430897,0.277378896664546,0.031216939828453312,RandomForestTuned,0.7228615488055435,0.30951327216310853,0.338130475338651,0.09517755571779674,0.5853308077680064
0.1541209154650086,0.5391022674687644,0.2397119341563786,0.016210673654400157,XGBoostCalibratedTuned,0.7268043132009885,0.3189525645852041,0.30636315959465077,0.08718764641003841,0.5689551209053042
0.14380209022357454,0.5426859710434349,0.22735829324409118,0.014908611513484481,XGBoostDeepCalibrated,0.725013183239221,0.3162158969537586,0.306840945807462,0.08734292636574638,0.5644467393550451
0.14194999338536843,0.5548086866597725,0.2260613083324555,0.014013443791604954,XGBoostCalibrated,0.726891466874222,0.31830288227282366,0.30888232659678894,0.08764824316365495,0.5639682747968817
0.13229263130043656,0.5643340857787811,0.2143392991104919,0.012564899659836266,GradientBoosting,0.7254185069241458,0.31704136021533896,0.30608276167434534,0.08720888104747802,0.5598638658203001
