Model,Threshold,Recall,Precision,F1,FPR
RandomForest,0.12,1.0,0.11059739271657863,0.19916739124706875,0.9893719177747758
ExtraTreesTuned,0.08,1.0,0.10964288822488469,0.19761833178651259,0.9990560049478361
ExtraTrees,0.2,1.0,0.1095824876775877,0.19752021845072446,0.999674484464771
LogisticRegression,0.08,1.0,0.10955707577250855,0.19747893671216774,0.9999348968929542
XGBoostDeep,0.08,0.9947082947479825,0.11422711735662743,0.20492205385370107,0.948975439852867
RandomForestTuned,0.08,0.9937822463288795,0.11373546511627906,0.20411102204953332,0.9527188685079996
XGBoostRaw,0.08,0.9831988358248446,0.11726836657409745,0.20954394868541623,0.9105320551423317
GradientBoosting,0.08,0.7422939542267496,0.17075471698113207,0.27764170315940523,0.4434986409726404
XGBoostCalibrated,0.08,0.7379282973938351,0.17311691133111945,0.28044243338360986,0.4336355202552042
XGBoostDeepCalibrated,0.08,0.7204656700621775,0.17549626192317608,0.2822419735171413,0.41643202421835585
XGBoostCalibratedTuned,0.08,0.71213123429025,0.18016600843429947,0.2875764617891391,0.3986751517716183
