feature,importance
hrv_drop,0.14597355
stress_level,0.08835701
load_recovery_imbalance,0.08660983
acwr_ratio,0.060160242
injured_yesterday,0.056237865
history_injury_count,0.054220416
sleep_debt_3d,0.03567195
daily_distance_km,0.031956673
sleep_hours,0.022003854
active_calories_burned,0.01900211
workout_intensity_minutes,0.017408876
chronic_load_21d,0.016114004
acwr_ratio_std21,0.015938139
muscle_soreness,0.0158925
acute_load_7d,0.015793368
acwr_ratio_ma7,0.01510647
elevation_gained_m,0.014742152
floors_climbed,0.014470017
body_fat_pct,0.014147101
calorie_balance,0.014137249
sleep_hours_std21,0.0141272005
spo2,0.014093872
sleep_hours_ma7,0.014036906
avg_speed,0.014006868
avg_power,0.014000424
respiratory_rate,0.013992078
vo2_max,0.0139736645
total_calories_burned,0.013875545
nutrition_intake_calories,0.013808396
daily_calories,0.013790251
max_speed,0.013730046
hrv_score,0.013662528
age,0.013434123
bmi,0.013372502
speed_intensity_ratio,0.013164679
resting_hr,0.013115662
energy_level,0.013046873
avg_cadence,0.012825046
