Model,Threshold,Recall,Precision,F1,FPR
RandomForest,0.22,1.0,0.151147118074175,0.2626026086518608,0.9999829267043417
ExtraTrees,0.2,1.0,0.151147118074175,0.2626026086518608,0.9999829267043417
LogisticRegression,0.2,0.999808227059162,0.15118824945263676,0.26265806841654493,0.9994707278345939
ExtraTreesTuned,0.2,0.988110077668041,0.1534121360090514,0.26558936096184327,0.9709071041983234
RandomForestTuned,0.2,0.9355642918784159,0.16144351049043618,0.27536865871727934,0.8652575506650049
XGBoostRaw,0.2,0.8739092913989837,0.1675583255198279,0.28120082687976306,0.7730617541103959
XGBoostCalibratedTuned,0.2,0.2918784159555087,0.2685961351804465,0.2797536991085378,0.14152054771132472
GradientBoosting,0.2,0.2880429571387477,0.2687421721238146,0.2780580367473504,0.1395571187106247
XGBoostCalibrated,0.2,0.24192156486719724,0.2813336306868867,0.26014332113213384,0.11003739051749159
