feature,importance
acute_load_7d,0.29303323092944533
acwr_ratio,0.2150941950309011
hrv_drop,0.18217349812929828
stress_level,0.16176980052328435
chronic_load_21d,0.15465931277099984
injured_yesterday,0.13146372665672706
daily_distance_km,0.11729831414230701
sleep_debt_3d,0.09956414783040424
sleep_hours,0.061747536445991215
acwr_ratio_std21,0.03807357100795988
acwr_ratio_ma7,0.020284539498483925
energy_level,0.012474129151243466
sleep_hours_ma7,0.011526484355059569
bmi,0.0109847246163895
hrv_score,0.010545341691563225
resting_hr,0.006896368424077371
calorie_balance,0.0062269137256775586
daily_calories,0.005851156086594009
workout_intensity_minutes,0.004086219585208308
avg_cadence,0.0025089103484387527
total_calories_burned,0.0024165711704969336
muscle_soreness,0.002352576779471412
sleep_hours_std21,0.0013729639585809206
nutrition_intake_calories,0.0011826546675407835
