mean_predicted_risk,fraction_positive,model
0.09105444191256667,0.0,LogisticRegression
0.17442430088820682,0.059154929577464786,LogisticRegression
0.2596225230292846,0.06324167872648336,LogisticRegression
0.353505962010967,0.08286841747176486,LogisticRegression
0.4500781003642496,0.1204939919893191,LogisticRegression
0.5471633632747629,0.17570957095709572,LogisticRegression
0.6438362202540708,0.24849282034418502,LogisticRegression
0.7392527523081751,0.338239456552505,LogisticRegression
0.8292836259252837,0.44029850746268656,LogisticRegression
0.9055662146999814,0.2,LogisticRegression
0.1825178877562232,0.025974025974025976,RandomForest
0.25437667427897004,0.0494293760189714,RandomForest
0.3744580509426089,0.10371209974497024,RandomForest
0.4798486442609031,0.15646007919697946,RandomForest
0.5552067421776158,0.20384558715190806,RandomForest
0.6572241992460669,0.298251570191818,RandomForest
0.7400729034411282,0.40844298245614036,RandomForest
0.831168468929243,0.51,RandomForest
0.907114467275354,1.0,RandomForest
0.07714061605080759,0.05843041079092581,XGBoostCalibrated
0.14539550036204782,0.17375090223754913,XGBoostCalibrated
0.25310407477200986,0.27846512461897077,XGBoostCalibrated
0.33850985044423326,0.35692883895131083,XGBoostCalibrated
0.4488520403434068,0.40179238237490666,XGBoostCalibrated
0.5435735994863902,0.47506561679790027,XGBoostCalibrated
0.6456343542249917,0.4966996699669967,XGBoostCalibrated
0.7424088712613279,0.5671140939597316,XGBoostCalibrated
0.8357195304776874,0.6666666666666666,XGBoostCalibrated
0.9136137420942847,0.8421052631578947,XGBoostCalibrated
