Model,Threshold,Recall,Precision,F1,FPR
XGBoostCalibratedTuned,0.1,0.8078307830783078,0.2707717371628552,0.4055947216196673,0.4248725610827913
XGBoostDeep,0.22,0.8191719171917192,0.2655598027486796,0.4010929684229082,0.4424327649850589
GradientBoosting,0.11,0.8156615661566157,0.2657633878819872,0.4009024951336046,0.4400773422394093
RandomForest,0.38,0.8081908190819082,0.2656430283127718,0.3998574959364075,0.4363156969590437
LogisticRegression,0.4,0.8034203420342034,0.247552486341071,0.3784849577034791,0.4769027948672877
