mean_predicted_risk,fraction_positive,model
0.07595264190523714,0.0345086271567892,LogisticRegression
0.1572840825138816,0.047984356197352585,LogisticRegression
0.2519304166455635,0.059795295385167896,LogisticRegression
0.3501031747868551,0.08990954460386774,LogisticRegression
0.44882874971900294,0.12643385164414989,LogisticRegression
0.5477029313145244,0.18765432098765433,LogisticRegression
0.6476451457680308,0.26419213973799127,LogisticRegression
0.7461966321369571,0.38334724540901505,LogisticRegression
0.8432547740204361,0.5723533891850724,LogisticRegression
0.92891211184297,0.781021897810219,LogisticRegression
0.07167837756349212,0.0,RandomForest
0.16174144773015134,0.01975225979243388,RandomForest
0.2565082002889437,0.05326843777462313,RandomForest
0.348041489988428,0.09413330247627864,RandomForest
0.44647747140657423,0.15183331966204577,RandomForest
0.5463195170918207,0.23183391003460208,RandomForest
0.6463957001213722,0.3554918815663801,RandomForest
0.7465120056867679,0.5017064846416383,RandomForest
0.8417822388345311,0.6968822170900693,RandomForest
0.9152672775763366,0.8275862068965517,RandomForest
0.06367168127853726,0.055284714622093986,GradientBoosting
0.13956733385765904,0.14346088474436125,GradientBoosting
0.24279990755788575,0.2551539113244846,GradientBoosting
0.34504595591283993,0.35619272834762045,GradientBoosting
0.4468855440515047,0.45082376435346977,GradientBoosting
0.5471941809597696,0.5468521229868228,GradientBoosting
0.6489368333004855,0.6689520078354554,GradientBoosting
0.7472048127431807,0.7908629441624365,GradientBoosting
0.8298007933763855,0.8220338983050848,GradientBoosting
0.9100540223119011,1.0,GradientBoosting
0.06641544472910693,0.06125552303896253,XGBoostCalibratedTuned
0.13859319407958057,0.15447294428186148,XGBoostCalibratedTuned
0.24337867871124702,0.25369288904156645,XGBoostCalibratedTuned
0.34688488395518774,0.3342558425584256,XGBoostCalibratedTuned
0.44754573870418,0.4199720018665422,XGBoostCalibratedTuned
0.5484806712186954,0.501101321585903,XGBoostCalibratedTuned
0.6490480672707889,0.6381668946648427,XGBoostCalibratedTuned
0.7383645978429358,0.7968877968877969,XGBoostCalibratedTuned
0.8019896055819339,1.0,XGBoostCalibratedTuned
0.04846806808179137,0.022418108608118402,XGBoostDeep
0.1511209118837468,0.06879476948223644,XGBoostDeep
0.24517447753381283,0.12007874015748031,XGBoostDeep
0.3452447948671028,0.19204131940368588,XGBoostDeep
0.44675804857867435,0.2608015640273705,XGBoostDeep
0.5477282827338642,0.34543391945547364,XGBoostDeep
0.647395108013326,0.43675319324268647,XGBoostDeep
0.7471134886396453,0.5701459034792368,XGBoostDeep
0.8516259330602548,0.7411607738492328,XGBoostDeep
0.9174707712196722,0.802439024390244,XGBoostDeep
