Model,Threshold,Recall,Precision,F1,FPR
LogisticRegression,0.1,0.9958595859585958,0.165959170204149,0.2845057021998791,0.9773773949727544
LogisticRegression,0.11,0.9951395139513952,0.1667596796331769,0.2856515392267049,0.971049393566532
LogisticRegression,0.12,0.993969396939694,0.1677502658362448,0.2870548479334546,0.96303392511865
LogisticRegression,0.13,0.9924392439243924,0.1687868350554917,0.2885065742133839,0.9544559676568816
LogisticRegression,0.14,0.9892889288928892,0.1698159850439565,0.2898738016430841,0.9444893654420812
LogisticRegression,0.15,0.9868586858685868,0.1711039670401697,0.2916422833430867,0.9336262963613992
LogisticRegression,0.16,0.9833483348334834,0.172449172875363,0.2934382638124144,0.9215503603445244
LogisticRegression,0.17,0.9792079207920792,0.1738109312840504,0.2952198748999335,0.9089822464404992
LogisticRegression,0.18,0.9753375337533752,0.1754704148719111,0.2974308300395257,0.8950254877834417
LogisticRegression,0.19,0.9716471647164716,0.1771705235516166,0.2996946141032759,0.8812620847249077
LogisticRegression,0.2,0.9671467146714672,0.1790266415635049,0.3021271211460867,0.8661276146950255
LogisticRegression,0.21,0.962106210621062,0.1811387900355872,0.3048773531089561,0.8493759887502197
LogisticRegression,0.22,0.9576957695769576,0.1834229761412219,0.3078792789143204,0.832624362805414
LogisticRegression,0.24,0.9465346534653464,0.1881788737183043,0.3139432478020091,0.797451221655827
LogisticRegression,0.26,0.9361836183618362,0.1938640472684572,0.3212118404595358,0.7602390578309017
LogisticRegression,0.28,0.9234023402340236,0.1998324827613074,0.328561363054061,0.722077693795043
LogisticRegression,0.3,0.9072007200720072,0.2061946359526196,0.3360170692270507,0.6820530849006855
LogisticRegression,0.32,0.8904590459045905,0.2133445472385758,0.3442180894556462,0.6412023202671823
LogisticRegression,0.34,0.8705670567056706,0.2208118350760239,0.3522727272727273,0.5999296888732641
LogisticRegression,0.36,0.8487848784878488,0.2288446137792122,0.3604946766825315,0.5585691685709263
LogisticRegression,0.38,0.8261926192619262,0.2381187091418491,0.3696886705062628,0.5162418702759711
LogisticRegression,0.4,0.8034203420342034,0.247552486341071,0.3784849577034791,0.4769027948672877
LogisticRegression,0.42,0.7777677767776777,0.257172619047619,0.386535450682174,0.4387238530497451
LogisticRegression,0.44,0.7536453645364537,0.2686409137577002,0.3960925303940584,0.4006855334856741
LogisticRegression,0.46,0.724032403240324,0.2795287903534072,0.4033394339007696,0.3644401476533661
LogisticRegression,0.48,0.6954095409540955,0.2919768716223876,0.4112746533230417,0.329319739848831
LogisticRegression,0.5,0.6694869486948695,0.3062417654808959,0.4202497316232556,0.2961856213745825
