Model,folds,ROC_AUC_mean,ROC_AUC_std,Recall_mean,Recall_std,F1_mean,F1_std,FPR_mean,FPR_std
XGBoostCalibratedTuned,2,0.7813529830862322,0.0019568365715354175,0.6010458113414502,0.0023700442314224164,0.46338478291005314,0.00035802673191287374,0.19690052102706038,0.006107061921314881
GradientBoosting,2,0.7790662334998915,0.0018561279733083234,0.6141384858415604,0.004465220551910614,0.45819466361772765,0.0008882647996128512,0.21145611039679055,0.006407044217156863
XGBoostDeep,2,0.7810426633720332,0.001902019640752409,0.8853122537890312,0.0023955249729117755,0.37214745138441285,0.004454384429053017,0.5694233804493025,0.0027965113340624927
LogisticRegression,2,0.7495661610445171,0.0001360808911772089,0.9764747370259415,0.0016082482912380236,0.3004287469906055,0.004239694811085332,0.8968149873116114,0.002530734502597769
RandomForest,2,0.7767365105556249,0.0015268671616811488,0.9979991370515453,9.806732744249416e-05,0.29839387232285164,0.003792067288413202,0.9299257122145461,0.002870532055581744
