feature,importance
stress_level,0.22260925
injured_yesterday,0.18033633
hrv_drop,0.15540467
muscle_soreness,0.08041696
history_injury_count,0.044523604
daily_distance_km,0.043699052
sleep_hours_ma7,0.032384686
sleep_debt_3d,0.031821053
workout_intensity_minutes,0.03125977
sleep_hours,0.030404387
active_calories_burned,0.017523369
load_recovery_imbalance,0.011891181
elevation_gained_m,0.00926388
acute_load_7d,0.008202709
acwr_ratio,0.007824546
hrv_score,0.007610693
floors_climbed,0.0068207406
acwr_ratio_ma7,0.0066649276
respiratory_rate,0.0050020884
spo2,0.0048035956
vo2_max,0.00460872
energy_level,0.00440019
max_speed,0.0043972125
nutrition_intake_calories,0.004380388
avg_cadence,0.004286716
bmi,0.004243481
total_calories_burned,0.004092316
calorie_balance,0.004081184
avg_speed,0.00402819
speed_intensity_ratio,0.00398853
body_fat_pct,0.0039814105
daily_calories,0.0039526895
avg_power,0.0039411155
age,0.0038600068
resting_hr,0.0032904258
