feature,importance
stress_level,0.21820684
injured_yesterday,0.20634072
hrv_drop,0.10732338
sleep_debt_3d,0.049131628
acwr_ratio,0.040120706
daily_distance_km,0.032622844
sleep_hours,0.032090075
history_injury_count,0.027694805
workout_intensity_minutes,0.023091134
muscle_soreness,0.021261754
chronic_load_21d,0.020077845
resting_hr,0.018191596
acute_load_7d,0.017941678
energy_level,0.016256673
acwr_ratio_std21,0.016012661
age,0.015997164
bmi,0.014593218
acwr_ratio_ma7,0.014292907
daily_calories,0.014145215
total_calories_burned,0.014106359
sleep_hours_std21,0.013942474
hrv_score,0.013880476
nutrition_intake_calories,0.0137729095
sleep_hours_ma7,0.013636424
calorie_balance,0.012799061
avg_cadence,0.012469536
