Model,Threshold,Recall,Precision,F1,FPR
RandomForestTuned,0.28,0.9537546656544569,0.24094614032283843,0.38470469653087,0.8928618427236666
XGBoostRaw,0.26,0.949009932308471,0.24209608960185916,0.3857785778577858,0.88286052676104
RandomForest,0.36,0.9458467767444803,0.24221167398383203,0.38566306394613975,0.8793638260673396
ExtraTrees,0.38,0.9455304611880813,0.24052914480672052,0.38350118673423567,0.8871844039629274
LogisticRegression,0.36,0.9277535269184538,0.24295086312580763,0.38506479013772005,0.8590792021506589
ExtraTreesTuned,0.34,0.9221231100145505,0.2445145272763873,0.3865338972937854,0.8466527550617563
