Model,Threshold,Recall,Precision,F1,FPR
LogisticRegression,0.1,0.9863813229571985,0.15298732649366326,0.26489028213166144,0.9541128484024474
LogisticRegression,0.11,0.9844357976653697,0.15445665445665446,0.2670184696569921,0.9415363698164514
LogisticRegression,0.12,0.980544747081712,0.1561822125813449,0.2694466720128308,0.9255608429639701
LogisticRegression,0.13,0.9785992217898832,0.15837531486146095,0.27262872628726287,0.9085656016315432
LogisticRegression,0.14,0.9727626459143969,0.1598976654940838,0.274649821477616,0.8929299796057104
LogisticRegression,0.15,0.9688715953307393,0.16195121951219513,0.27751462803009197,0.8759347382732835
LogisticRegression,0.16,0.9630350194552529,0.16390728476821192,0.2801358234295416,0.8582596872875595
LogisticRegression,0.17,0.9591439688715954,0.16610512129380053,0.2831705916140149,0.8412644459551326
LogisticRegression,0.18,0.9552529182879378,0.16838134430727023,0.2862973760932945,0.8242692046227057
LogisticRegression,0.19,0.9494163424124513,0.17104801962846128,0.28987228987228986,0.8038749150237934
LogisticRegression,0.2,0.9455252918287937,0.17507204610951008,0.29544072948328265,0.778382053025153
LogisticRegression,0.21,0.9416342412451362,0.17813765182186234,0.2995976477870628,0.7590074779061863
LogisticRegression,0.22,0.9319066147859922,0.18137069291934874,0.3036450079239303,0.7348742352141401
LogisticRegression,0.24,0.9221789883268483,0.18802062673542244,0.31235584843492586,0.6957851801495581
LogisticRegression,0.26,0.9007782101167315,0.1938049393051486,0.31898036513951084,0.6546566961250849
LogisticRegression,0.28,0.8852140077821011,0.20008795074758134,0.32639885222381637,0.6182868796736913
LogisticRegression,0.3,0.8696498054474708,0.20771375464684014,0.3353338334583646,0.579537729435758
LogisticRegression,0.32,0.8618677042801557,0.2150485436893204,0.3442113442113442,0.5496261046906866
LogisticRegression,0.34,0.8501945525291829,0.22467866323907454,0.35542903619357463,0.512576478585996
LogisticRegression,0.36,0.8326848249027238,0.23185265438786565,0.36271186440677966,0.48198504418762744
LogisticRegression,0.38,0.8249027237354085,0.24466243508366994,0.3773920783266578,0.4449354180829368
