feature,importance
hrv_drop,0.17251167759688338
history_injury_count,0.08497196119191976
stress_level,0.04907260425841274
load_recovery_imbalance,0.040591404452041964
sleep_debt_3d,0.03873012518859974
active_calories_burned,0.029428134218511023
daily_distance_km,0.02845801741456236
injured_yesterday,0.026163647731356505
hrv_score,0.026140613635094716
sleep_hours,0.024916117854910866
acwr_ratio_ma7,0.023708395767726306
acwr_ratio,0.022848785694077844
body_fat_pct,0.022005381741295352
acute_load_7d,0.0219055574087461
daily_calories,0.021454961155410106
calorie_balance,0.021430184968658006
sleep_hours_ma7,0.021364221432990608
speed_intensity_ratio,0.021251779797497622
vo2_max,0.021138083273450795
total_calories_burned,0.021053225047143923
workout_intensity_minutes,0.020913556183064983
elevation_gained_m,0.020427559810421745
nutrition_intake_calories,0.02026910458447803
bmi,0.019479950699052128
respiratory_rate,0.019235959839591775
avg_speed,0.01890133731848924
max_speed,0.01888481086038625
muscle_soreness,0.018462518982317787
floors_climbed,0.01835537713708581
spo2,0.017901710960746255
resting_hr,0.01579814359664722
avg_cadence,0.015057056090803626
age,0.013696844325917827
energy_level,0.013145991106334697
avg_power,0.0103251986753728
