mean_predicted_risk,fraction_positive,model
0.07472193425816778,0.04929577464788732,LogisticRegression
0.1543610514639177,0.03903345724907063,LogisticRegression
0.24901557665673216,0.0625,LogisticRegression
0.3504725413072232,0.06538461538461539,LogisticRegression
0.4500389277537712,0.10460251046025104,LogisticRegression
0.5461461201387817,0.19576719576719576,LogisticRegression
0.6450907526377859,0.2809667673716012,LogisticRegression
0.7496504452667798,0.3192488262910798,LogisticRegression
0.8439546043031728,0.5120481927710844,LogisticRegression
0.9355065191939911,0.6515151515151515,LogisticRegression
0.07754353830766808,0.008620689655172414,RandomForest
0.15332786873622775,0.052980132450331126,RandomForest
0.24542178204532877,0.10478359908883828,RandomForest
0.34241415470069014,0.1727447216890595,RandomForest
0.444495991673499,0.2730496453900709,RandomForest
0.5534676091474281,0.4673913043478261,RandomForest
0.6489256109667063,0.5546875,RandomForest
0.753032416054028,0.6222222222222222,RandomForest
0.8192733673609124,0.8461538461538461,RandomForest
0.057590262261146496,0.057203389830508475,GradientBoosting
0.13875944521260575,0.12799043062200957,GradientBoosting
0.24569145508059664,0.24242424242424243,GradientBoosting
0.34764527357314773,0.3157894736842105,GradientBoosting
0.4512757576178049,0.5106382978723404,GradientBoosting
0.5449387004208898,0.5294117647058824,GradientBoosting
0.648858031055355,0.6166666666666667,GradientBoosting
0.749188428594634,0.6904761904761905,GradientBoosting
0.8351561176713073,0.78125,GradientBoosting
0.9149850809585045,1.0,GradientBoosting
0.06457480753518526,0.05840528186896902,XGBoostCalibratedTuned
0.13883050910124486,0.13530927835051546,XGBoostCalibratedTuned
0.24600656574093957,0.24066390041493776,XGBoostCalibratedTuned
0.3475753041931908,0.3356643356643357,XGBoostCalibratedTuned
0.4512007161291566,0.43157894736842106,XGBoostCalibratedTuned
0.5465459223515755,0.5555555555555556,XGBoostCalibratedTuned
0.6494426147091658,0.6436781609195402,XGBoostCalibratedTuned
0.739771143380877,0.7454545454545455,XGBoostCalibratedTuned
0.04831595494156739,0.037539936102236424,XGBoostDeep
0.14304608265462118,0.10173160173160173,XGBoostDeep
0.24627338786187244,0.13665943600867678,XGBoostDeep
0.34297953073279447,0.24096385542168675,XGBoostDeep
0.4472781197929924,0.2556818181818182,XGBoostDeep
0.5529955705674756,0.3697478991596639,XGBoostDeep
0.6454828944161674,0.4766355140186916,XGBoostDeep
0.7526676109139349,0.6338028169014085,XGBoostDeep
0.8511979402974248,0.6875,XGBoostDeep
0.9295184991576455,0.6363636363636364,XGBoostDeep
