feature,importance
hrv_drop,0.16602525019698325
history_injury_count,0.07775665791923636
stress_level,0.049160471566534386
load_recovery_imbalance,0.0391516055587191
sleep_debt_3d,0.03746033896805666
active_calories_burned,0.029880102132096246
daily_distance_km,0.029824289752782476
hrv_score,0.02804006599953151
injured_yesterday,0.027291005514133042
acwr_ratio_ma7,0.024829935252709184
acwr_ratio,0.0234624755158966
sleep_hours_ma7,0.023006845336479433
sleep_hours,0.02291364829736547
acute_load_7d,0.0227903887302216
calorie_balance,0.022591023886232593
total_calories_burned,0.022438847325190896
speed_intensity_ratio,0.02194787503697889
vo2_max,0.02190311575153039
elevation_gained_m,0.021570695510588673
daily_calories,0.021561879588161168
body_fat_pct,0.021255593528797957
nutrition_intake_calories,0.0204787776662115
muscle_soreness,0.0203628138984394
workout_intensity_minutes,0.020212333827154552
avg_speed,0.01975074482512243
max_speed,0.019729282826994758
respiratory_rate,0.01971694440489802
floors_climbed,0.019416680862045795
bmi,0.018558482018960525
spo2,0.018347743249984824
resting_hr,0.01670839800111656
avg_cadence,0.016355864959380326
age,0.012946828989036596
energy_level,0.012027049652381902
avg_power,0.010525943450046885
