Model,Threshold,Recall,Precision,F1,FPR
RandomForestTuned,0.22,0.5576134409313401,0.2316443174324027,0.32731508444962143,0.22755163490177568
RandomForestTuned,0.24,0.5017859505225559,0.2535258338346367,0.33685612788632324,0.18176787487182824
RandomForestTuned,0.26,0.45244079904749307,0.27327207351178584,0.340739264720534,0.14802818964535083
RandomForestTuned,0.28,0.4054769149358381,0.29468320353812133,0.3413140311804009,0.11939909832196742
RandomForestTuned,0.3,0.3619526392379944,0.3187696609577071,0.3389914508734977,0.09516446672417442
RandomForestTuned,0.32,0.3287471887815849,0.3460520818827461,0.33717774762550884,0.07643104767175013
RandomForestTuned,0.34,0.29091149622966,0.36989066442388563,0.3256812796208531,0.06096905974837649
RandomForestTuned,0.36,0.25876438682365394,0.3946731234866828,0.3125848981222533,0.04882733028433782
RandomForestTuned,0.38,0.23098293425056224,0.4189059500959693,0.2977743668457406,0.03941993131622207
RandomForestTuned,0.4,0.2018785553644662,0.44308943089430897,0.277378896664546,0.031216939828453312
RandomForestTuned,0.42,0.17925651541209153,0.47644163150492264,0.2605017783331731,0.024234631597793006
RandomForestTuned,0.44,0.1580896944040217,0.5025231286795626,0.24051524605011573,0.019254243908790547
RandomForestTuned,0.46,0.13956872602196058,0.5368956743002544,0.22154556908861822,0.014810956852915806
RandomForestTuned,0.48,0.12382590289720863,0.5631768953068592,0.20301485739073852,0.011816213928809752
RandomForestTuned,0.5,0.10543722714644795,0.5826023391812866,0.17855942645905679,0.009293468530785632
RandomForestTuned,0.52,0.09247254927900515,0.6131578947368421,0.16070812737096218,0.0071776175517976595
RandomForestTuned,0.54,0.07884640825506019,0.6306878306878307,0.14016933207902163,0.005680246089744633
RandomForestTuned,0.56,0.06918904617012832,0.65375,0.12513458547673167,0.004508390162920525
RandomForestTuned,0.58,0.05820875777219209,0.6790123456790124,0.10722553917387596,0.0033853615663807556
RandomForestTuned,0.6,0.049080566212461964,0.6908752327746741,0.0916501976284585,0.0027017789424000262
ExtraTrees,0.2,1.0,0.1095824876775877,0.19752021845072446,0.999674484464771
ExtraTrees,0.22,0.9998677073686996,0.10970954115922255,0.19772400261608894,0.9982422161097638
ExtraTrees,0.24,0.9997354147373991,0.11003523690264713,0.19825019347560896,0.9947917514363372
ExtraTrees,0.26,0.9977510252678926,0.11064166886717719,0.19919445361505447,0.9867026903858986
ExtraTrees,0.28,0.9939145389601799,0.11189050725285199,0.20113780871427614,0.9705733956153058
ExtraTrees,0.3,0.9861092737134541,0.11421479245514303,0.20471835434346763,0.9408863788024283
ExtraTrees,0.32,0.9678528905939939,0.11755820866742725,0.20965153599266392,0.8938168324083267
ExtraTrees,0.34,0.9441725095912158,0.1231090335156021,0.21781724958798754,0.8273953874448658
ExtraTrees,0.36,0.9096441328218018,0.12995161778046568,0.22741479386813515,0.7492716589899253
ExtraTrees,0.38,0.864532345548353,0.1383976789004426,0.23859943773047573,0.6621637017626666
ExtraTrees,0.4,0.8121444635533801,0.1487413078768202,0.2514334862385321,0.5718331407366417
ExtraTrees,0.42,0.7592274110332055,0.16128035071942445,0.2660454766706071,0.48575055744535406
ExtraTrees,0.44,0.699695726948009,0.1747563191805716,0.27966370558375636,0.4065038003938738
ExtraTrees,0.46,0.640296335494113,0.19014693171996544,0.2932178232817375,0.3355088621604466
ExtraTrees,0.48,0.5805000661463157,0.20754895468735218,0.30577331800285706,0.27268436386126527
ExtraTrees,0.5,0.5214975525863209,0.22733564013840832,0.31663922245873327,0.2180628570498527
ExtraTrees,0.52,0.4623627463950258,0.2486305755139788,0.32337157660991855,0.17190475415439202
ExtraTrees,0.54,0.4091811086122503,0.27287163652404056,0.32740552556367103,0.13414495206783744
ExtraTrees,0.56,0.35652864135467655,0.3002116519995544,0.3259554910498307,0.10224442961540339
ExtraTrees,0.58,0.30625744146051065,0.3297720797720798,0.31758008093833595,0.07657752966260314
ExtraTrees,0.6,0.25744146051064953,0.35465646072535084,0.29832898972865246,0.057632525512280076
ExtraTreesTuned,0.2,0.7638576531287208,0.1610959209865521,0.266076818506486,0.4893800556631565
ExtraTreesTuned,0.22,0.6888477311813732,0.18027281539952916,0.2857613259062097,0.3853615663807555
ExtraTreesTuned,0.24,0.6167482471226353,0.20218579234972678,0.3045366952999967,0.29940918930355953
ExtraTreesTuned,0.26,0.5471623230586057,0.2262582056892779,0.3201362281822052,0.23020458651389136
ExtraTreesTuned,0.28,0.48180976319618996,0.2499828402773011,0.329175704989154,0.1778454126723198
ExtraTreesTuned,0.3,0.4250562243683027,0.27893046271377725,0.3368277597232414,0.13518660178057
ExtraTreesTuned,0.32,0.3706839529038233,0.3065645514223195,0.33558895742260014,0.10315587311404437
ExtraTreesTuned,0.34,0.3259690435242757,0.338415052877352,0.3320754716981132,0.07840041665988509
ExtraTreesTuned,0.36,0.28112184151342773,0.3653085783049682,0.31773325358851673,0.06009016780325841
ExtraTreesTuned,0.38,0.24447678264320677,0.39724849527085127,0.30267791335680944,0.04563727803909442
ExtraTreesTuned,0.4,0.20677338272258236,0.4265829694323144,0.2785351510291366,0.03419540697579792
ExtraTreesTuned,0.42,0.179388808043392,0.4529058116232465,0.2569885340661423,0.02665972233524845
ExtraTreesTuned,0.44,0.15584071967191426,0.486575795125981,0.23607214428857715,0.020230790514477303
ExtraTreesTuned,0.46,0.1338801428760418,0.5150127226463105,0.2125157496850063,0.01551081525365798
ExtraTreesTuned,0.48,0.11549146712528112,0.5459662288930581,0.19065298100021838,0.011816213928809752
ExtraTreesTuned,0.5,0.09789654716232306,0.5763239875389408,0.16736401673640167,0.008854022558226591
ExtraTreesTuned,0.52,0.08334435771927504,0.6051873198847262,0.14651162790697675,0.0066893442489542815
ExtraTreesTuned,0.54,0.07024738722053181,0.6181606519208381,0.1261582323592302,0.005338454777754268
ExtraTreesTuned,0.56,0.06059002513559995,0.6423562412342216,0.11073500967117988,0.004150323074168715
ExtraTreesTuned,0.58,0.051858711469771133,0.6678023850085179,0.09624355511907685,0.003173776468481958
ExtraTreesTuned,0.6,0.041936764122238394,0.6846652267818575,0.07903266018449265,0.002376263407171107
GradientBoosting,0.2,0.3347003571901045,0.342493569784757,0.3385521209688211,0.07905144773034294
GradientBoosting,0.22,0.3012303214710941,0.3678513731825525,0.33122408902465633,0.06368711446753797
GradientBoosting,0.24,0.2725228204788993,0.39380615561078186,0.32212666145426117,0.051610488110545076
GradientBoosting,0.26,0.2438153194867046,0.4154643823264202,0.30729470612755316,0.042203089142429324
GradientBoosting,0.28,0.2192088900648234,0.4380121596616442,0.2921883265737965,0.03460230139483407
