feature,importance
hrv_drop,0.15764333687708001
injured_yesterday,0.07967652537838944
load_recovery_imbalance,0.07819786659955394
stress_level,0.07478460245512442
acwr_ratio,0.05683254536910104
sleep_debt_3d,0.04903297317718627
history_injury_count,0.0415061039678076
daily_distance_km,0.032286490720617206
sleep_hours,0.030771983337700735
muscle_soreness,0.030460166465853193
active_calories_burned,0.02832285904383211
workout_intensity_minutes,0.02800148758757639
acwr_ratio_ma7,0.023906466591087562
energy_level,0.018387630897082122
acwr_ratio_std21,0.01779939534841613
elevation_gained_m,0.016507084119368864
floors_climbed,0.015436822005990674
hrv_score,0.014555927766952819
acute_load_7d,0.013995964568624022
sleep_hours_ma7,0.013953766353207938
total_calories_burned,0.013893210962354881
chronic_load_21d,0.013730862354564409
respiratory_rate,0.010897798786432754
age,0.010372922912376594
vo2_max,0.01034386839451156
spo2,0.010289366281759936
body_fat_pct,0.010029892671648664
resting_hr,0.009990250857694153
speed_intensity_ratio,0.009165838103919887
bmi,0.009140264069283381
calorie_balance,0.009035775314738741
avg_speed,0.009003500550371163
max_speed,0.0089233569039922
nutrition_intake_calories,0.008714717104840097
avg_power,0.008670221764761685
sleep_hours_std21,0.008647000189718214
avg_cadence,0.008645355833033469
daily_calories,0.008445798313445621
