feature,importance
hrv_drop,0.13248300255708204
stress_level,0.09261053011426101
injured_yesterday,0.06108971539155691
sleep_debt_3d,0.056181437521312313
acwr_ratio,0.0530450149730753
history_injury_count,0.049875578000127915
daily_distance_km,0.04574187493604492
sleep_hours,0.039289062833787705
chronic_load_21d,0.03582231835804714
acwr_ratio_ma7,0.031822098684077565
acute_load_7d,0.030770760168804045
acwr_ratio_std21,0.030729030113074613
workout_intensity_minutes,0.030447548987865752
sleep_hours_std21,0.029708197309579562
total_calories_burned,0.02954562582222435
muscle_soreness,0.02681463638656285
nutrition_intake_calories,0.02666111557408352
bmi,0.026537158985678336
daily_calories,0.026518403315347893
calorie_balance,0.026260361636889558
sleep_hours_ma7,0.026092888002591227
hrv_score,0.022044527170774514
avg_cadence,0.01912163034458849
resting_hr,0.018423189945030748
age,0.016887261958348564
energy_level,0.015477030909182976
