mean_predicted_risk,fraction_positive,model
0.18683468462617775,0.09090909090909091,LogisticRegression
0.2718664117930311,0.1156493804497476,LogisticRegression
0.359282862323061,0.15071179546775132,LogisticRegression
0.4504227023606257,0.19160762017904875,LogisticRegression
0.5455632691248424,0.2651805473093323,LogisticRegression
0.6415777267725861,0.342020295202952,LogisticRegression
0.7335852921294798,0.4735610669162377,LogisticRegression
0.8215816639171072,0.6086956521739131,LogisticRegression
0.16966812951280644,0.0351288056206089,RandomForest
0.26612304993141983,0.09290322580645162,RandomForest
0.36558023465040557,0.14605017347211102,RandomForest
0.44860316686784757,0.20540392452313277,RandomForest
0.5415843085711669,0.2913775417848308,RandomForest
0.6398217560971918,0.401378782075833,RandomForest
0.7317656397483954,0.5110663983903421,RandomForest
0.8131126362990121,0.6222222222222222,RandomForest
0.09003347409678804,0.025,RandomForestTuned
0.16225412297385763,0.060810810810810814,RandomForestTuned
0.26820737040525094,0.13222528054202837,RandomForestTuned
0.35098019387510887,0.19437521154497062,RandomForestTuned
0.44114386657321,0.27716279313782066,RandomForestTuned
0.5395771675548522,0.38704496788008563,RandomForestTuned
0.6362201722431423,0.48073959938366717,RandomForestTuned
0.7311105299436705,0.6707317073170732,RandomForestTuned
0.2789734550866265,0.07407407407407407,ExtraTrees
0.37036118656889855,0.13811219946571682,ExtraTrees
0.4499183489598263,0.19542373935211094,ExtraTrees
0.5425885854502499,0.2838290741516548,ExtraTrees
0.6361948669849274,0.3945936457784799,ExtraTrees
0.7234637712005042,0.5708418891170431,ExtraTrees
0.18290826914169617,0.07142857142857142,ExtraTreesTuned
0.2742428127345356,0.10311835577604536,ExtraTreesTuned
0.35890397091573384,0.16372385107857929,ExtraTreesTuned
0.44503310834309034,0.23751026675713316,ExtraTreesTuned
0.5393619740904845,0.32951676884240894,ExtraTreesTuned
0.6332038497632937,0.45971162001696353,ExtraTreesTuned
0.7208054383864686,0.675,ExtraTreesTuned
0.07229965731513302,0.05,GradientBoosting
0.16541825363866922,0.16037348655858813,GradientBoosting
0.2406446868523583,0.24608679861993826,GradientBoosting
0.3403831982995367,0.3411657795664027,GradientBoosting
0.44178426572134566,0.43486739469578783,GradientBoosting
0.5379564661489998,0.515625,GradientBoosting
0.634858194799108,0.6534653465346535,GradientBoosting
0.7238682730167632,0.7857142857142857,GradientBoosting
0.8274790458668986,0.5,GradientBoosting
0.08979538204783107,0.012448132780082987,XGBoostCalibrated
0.1690141989478062,0.16046110220687954,XGBoostCalibrated
0.238291403150198,0.25332042594385284,XGBoostCalibrated
0.34164339873982624,0.34154078549848943,XGBoostCalibrated
0.4424996230285774,0.42391304347826086,XGBoostCalibrated
0.5416637799320072,0.48582995951417,XGBoostCalibrated
0.6431675336423592,0.5621621621621622,XGBoostCalibrated
0.7368544458735982,0.7787610619469026,XGBoostCalibrated
0.8262892763745932,0.7142857142857143,XGBoostCalibrated
0.07826200044663505,0.05877862595419847,XGBoostCalibratedTuned
0.16256925246167425,0.16246733230583663,XGBoostCalibratedTuned
0.2416261710794878,0.24586269696729748,XGBoostCalibratedTuned
0.3416993001578945,0.3293336439888164,XGBoostCalibratedTuned
0.44142997876243173,0.43141025641025643,XGBoostCalibratedTuned
0.5371114273792834,0.5537897310513448,XGBoostCalibratedTuned
0.6194458086479521,0.703125,XGBoostCalibratedTuned
0.04924855994212688,0.023323615160349854,XGBoostRaw
0.1669489667968535,0.0800711743772242,XGBoostRaw
0.26528662108024387,0.14545855055437257,XGBoostRaw
0.3477777578106527,0.19697475253030808,XGBoostRaw
0.4434656036230962,0.27183310362110014,XGBoostRaw
0.5433359485183369,0.34274842675252454,XGBoostRaw
0.6417777846323564,0.44407158836689037,XGBoostRaw
0.7396741747397054,0.5250320924261874,XGBoostRaw
0.8294644996154407,0.7272727272727273,XGBoostRaw
0.9194245338439941,0.5,XGBoostRaw
