Model,Threshold,Recall,Precision,F1,FPR
ExtraTrees,0.22,1.0,0.22911352040816327,0.3728110001297185,0.9998496042712387
ExtraTreesTuned,0.2,0.9998102106661606,0.229182980944923,0.37288975402583613,0.9992668208222887
LogisticRegression,0.2,0.9998102106661606,0.229153073208926,0.3728501663245806,0.9994360160171452
RandomForest,0.2,0.9990510533308028,0.23029472241261137,0.37430670775065183,0.9922546199687929
RandomForestTuned,0.2,0.9965205288796103,0.23140204489364202,0.3755886455489455,0.9835880660989228
XGBoostRaw,0.2,0.9909533750869868,0.23389228173388482,0.37845804440793446,0.9645442069445228
GradientBoosting,0.2,0.700322641867527,0.28529457244471934,0.4054276767565786,0.5213467937510575
XGBoostCalibratedTuned,0.2,0.6883659138356424,0.2875224606278406,0.40562151684031983,0.5068900043238772
XGBoostCalibrated,0.2,0.6704624533434554,0.29183532975354537,0.40666129465484824,0.4834658695693042
