Recall@Threshold,Precision@Threshold,F1@Threshold,FPR@Threshold,Model,ROC-AUC,PR-AUC,LogLoss,BrierScore,BalancedAccuracy@Threshold
0.8128059267098823,0.14953271028037382,0.25259522683824287,0.5687407431519669,ExtraTrees,0.7112254234721234,0.2812356208163294,0.5897989710875094,0.19976633707408203,0.6220325917789576
0.7960047625347269,0.1487221315932572,0.2506195722348335,0.5605540274409596,LogisticRegression,0.7041163993083782,0.2936038523950093,0.618389481763083,0.21389825141749305,0.6177253675468837
0.7118666490276492,0.17558572081185148,0.28169087815730925,0.41120749987793165,RandomForest,0.7195452629362502,0.29763143554667126,0.5493154786993394,0.18175806593510815,0.6503295745748587
0.4189707633284826,0.291889400921659,0.3440708349177033,0.12504679285818915,XGBoostDeep,0.7233440828461886,0.31516975256401375,0.3878041677445451,0.11498494446277618,0.6469619852351467
0.29104378886096044,0.3736413043478261,0.327210530229791,0.060025064696212625,XGBoostRaw,0.7252525710844981,0.31549343307555144,0.33784767635710117,0.09690637141466141,0.615509362082374
0.2112713321867972,0.42541289291422485,0.28233006275965705,0.03510685047443889,ExtraTreesTuned,0.7160785935405182,0.3014431923446382,0.3624128212334515,0.10242535144334358,0.5880822408561792
0.2073025532477841,0.44529695936345554,0.28290305109225494,0.03177031623834248,RandomForestTuned,0.7229873668686838,0.3099672002726353,0.33783350168116505,0.0951356100385526,0.5877661185047208
0.1555761344093134,0.5411872986654395,0.24167694204685575,0.016226949431161604,XGBoostCalibratedTuned,0.7263947359379457,0.3189517772043715,0.30644087728074804,0.08718921618948376,0.5696745924890758
0.14393438285487498,0.5492175668854115,0.2280922431865828,0.014534268647971225,XGBoostDeepCalibrated,0.7238839276885347,0.315843960518161,0.30707983035414127,0.08739663467129197,0.5647000571034518
0.14115623759756582,0.5554398750650703,0.2251054852320675,0.013899513354274832,XGBoostCalibrated,0.7264155742720505,0.31795097386369897,0.3089770692940888,0.08766629626552906,0.5636283621216455
0.13295409445693876,0.5630252100840336,0.215111301369863,0.012695105873927833,GradientBoosting,0.7253213388789427,0.3173292155696067,0.30608700222172713,0.08719800213602824,0.5601294942915055
