feature,importance
hrv_drop,0.14940293
stress_level,0.0809206
load_recovery_imbalance,0.0804684
injured_yesterday,0.07055383
acwr_ratio,0.06999522
history_injury_count,0.050152816
sleep_debt_3d,0.043649763
daily_distance_km,0.023818778
sleep_hours,0.02259196
active_calories_burned,0.020451106
workout_intensity_minutes,0.020208731
muscle_soreness,0.018749217
chronic_load_21d,0.017075064
acwr_ratio_ma7,0.016340947
acute_load_7d,0.015458388
energy_level,0.015153967
floors_climbed,0.0150939785
elevation_gained_m,0.014990767
respiratory_rate,0.014977586
avg_power,0.014583309
sleep_hours_ma7,0.014528439
body_fat_pct,0.014487084
calorie_balance,0.0144685
vo2_max,0.014412575
hrv_score,0.014388067
nutrition_intake_calories,0.014287696
total_calories_burned,0.014253464
spo2,0.014222762
daily_calories,0.01421486
max_speed,0.014160152
bmi,0.013941711
age,0.013771378
speed_intensity_ratio,0.013675867
avg_speed,0.013674386
avg_cadence,0.013493016
resting_hr,0.013382692
