Model,Threshold,Recall,Precision,F1,FPR
XGBoostDeep,0.16,0.9155973012303215,0.13056519770600664,0.22854029421962455,0.750101723604759
ExtraTreesTuned,0.16,0.9130837412356132,0.13027803469299157,0.22802206878324358,0.7499389658371446
XGBoostRaw,0.12,0.8876835560259294,0.13679639558826528,0.23706059000176646,0.6891326638563825
LogisticRegression,0.34,0.8798782907792037,0.13172122868516428,0.2291393922690002,0.7135626047753129
RandomForest,0.34,0.8780261939409975,0.13744046386415407,0.23767659223978943,0.6779349294445077
RandomForestTuned,0.14,0.874851170789787,0.1383241298527443,0.2388787544927484,0.6704806236877655
ExtraTrees,0.38,0.864532345548353,0.1383976789004426,0.23859943773047573,0.6621637017626666
