Model,Threshold,Recall,Precision,F1,FPR
XGBoostCalibratedTuned,0.1,0.811404931862427,0.28748383388417875,0.4245485219531863,0.4168684422921711
GradientBoosting,0.11,0.8112426995457496,0.28730249928181556,0.42432856718571005,0.41715429109496904
XGBoostDeep,0.22,0.8228423101881895,0.2798730859428887,0.41768060445103244,0.43887880010761365
RandomForest,0.36,0.8281148604802077,0.27588163761653833,0.4138811748728032,0.4505649717514124
LogisticRegression,0.4,0.8131083711875405,0.2644715318452852,0.39912402946446346,0.46875840731772933
