mean_predicted_risk,fraction_positive,model
0.07699384752727079,0.031081888822474597,LogisticRegression
0.1561174586432216,0.04897806580259222,LogisticRegression
0.2512340089111379,0.06790945406125166,LogisticRegression
0.34982904359882705,0.08559704554780467,LogisticRegression
0.44852954223200714,0.12474328065005805,LogisticRegression
0.5486206601989735,0.17390844698171054,LogisticRegression
0.6478687615368126,0.2708143914794129,LogisticRegression
0.7470479726925088,0.4102375253176211,LogisticRegression
0.8434775314782048,0.6168368926029093,LogisticRegression
0.9285808211068067,0.7655719139297849,LogisticRegression
0.07997701117718527,0.0,RandomForest
0.16042179752990235,0.02262727844123193,RandomForest
0.25439882926691787,0.05648237772590104,RandomForest
0.34762613943765713,0.09948706386336734,RandomForest
0.44611701592570874,0.15792747955918948,RandomForest
0.5469628313624865,0.2361344537815126,RandomForest
0.6483977422357267,0.3594252221591983,RandomForest
0.7476457982717738,0.5161369193154034,RandomForest
0.8416173202635943,0.696875,RandomForest
0.9149553655021624,0.8192771084337349,RandomForest
0.06526486075065992,0.058041915806003506,GradientBoosting
0.13871270225052607,0.14276269185360094,GradientBoosting
0.24269263199529592,0.26083125275370833,GradientBoosting
0.3456729087350497,0.35648414985590776,GradientBoosting
0.44748638594163076,0.46062472503299606,GradientBoosting
0.548339135709978,0.545346062052506,GradientBoosting
0.6487776352492564,0.6709986320109439,GradientBoosting
0.7480193466797262,0.7869071476285905,GradientBoosting
0.8255751393484415,0.7716049382716049,GradientBoosting
0.06745649675033162,0.06282934738548845,XGBoostCalibratedTuned
0.13759444349554997,0.15169660678642716,XGBoostCalibratedTuned
0.24299872603150746,0.25357696948801933,XGBoostCalibratedTuned
0.3460353313095657,0.3445404071560765,XGBoostCalibratedTuned
0.4488635183527244,0.4172542513479884,XGBoostCalibratedTuned
0.5494699331824234,0.5107948969578018,XGBoostCalibratedTuned
0.6512121120285629,0.6621751684311838,XGBoostCalibratedTuned
0.737206070324697,0.7881656804733728,XGBoostCalibratedTuned
0.055331611395032496,0.026444547996272133,XGBoostDeep
0.15075392801691043,0.06674752024949106,XGBoostDeep
0.2446364426080064,0.12110115739227098,XGBoostDeep
0.34592443256103206,0.18799812470698546,XGBoostDeep
0.446293754801183,0.26481983727237507,XGBoostDeep
0.5475012019713236,0.3472584856396867,XGBoostDeep
0.6486489545596209,0.4478213108751373,XGBoostDeep
0.7499626567750028,0.5578649031648559,XGBoostDeep
0.8507635498036067,0.7393472348141432,XGBoostDeep
0.9162867846615415,0.7878315132605305,XGBoostDeep
