feature,importance
hrv_drop,0.2763391
stress_level,0.13760304
sleep_debt_3d,0.108295105
injured_yesterday,0.086019345
load_recovery_imbalance,0.06946668
muscle_soreness,0.05759829
daily_distance_km,0.041559197
history_injury_count,0.040169496
active_calories_burned,0.022103406
sleep_hours,0.017148316
workout_intensity_minutes,0.011188234
acwr_ratio,0.009695467
elevation_gained_m,0.00955491
floors_climbed,0.007567454
vo2_max,0.0074044266
energy_level,0.006770585
acwr_ratio_ma7,0.0063192286
acute_load_7d,0.0059183775
spo2,0.0053119753
bmi,0.0051055877
speed_intensity_ratio,0.004936927
respiratory_rate,0.0048795925
sleep_hours_ma7,0.0048424853
resting_hr,0.004801226
avg_speed,0.004785559
total_calories_burned,0.004727471
nutrition_intake_calories,0.0046417587
max_speed,0.0045596273
body_fat_pct,0.0045037293
age,0.004493268
hrv_score,0.0044869212
calorie_balance,0.0044388417
daily_calories,0.004355646
avg_cadence,0.0043543116
avg_power,0.004054432
