Model,Threshold,Recall,Precision,F1,FPR
LogisticRegression,0.2,0.9995323825111059,0.24805976644665265,0.39747568076426903,0.9989015647884066
LogisticRegression,0.22,0.9987725040916531,0.2483070305461098,0.39773282744815064,0.9968203191243351
LogisticRegression,0.24,0.9966097732055179,0.2487453314659197,0.3981226357820016,0.9923302243120327
LogisticRegression,0.26,0.9929857376665887,0.24959595662778056,0.3989198074439357,0.9842364911739767
LogisticRegression,0.28,0.9866729015665185,0.25134382584612636,0.40063132661658774,0.9689162105912279
LogisticRegression,0.3,0.9773205517886369,0.2540068363083935,0.4032170547309274,0.946292299391043
LogisticRegression,0.32,0.9624152443301379,0.25728170510656917,0.40602189781021897,0.9159600709165189
LogisticRegression,0.34,0.9437105447743745,0.2618943338686392,0.4100057139229255,0.8768596315424343
LogisticRegression,0.36,0.9181084872574234,0.2676128328761522,0.41442725030012795,0.8283743158868418
LogisticRegression,0.38,0.8877718026654197,0.27455801005097796,0.419407395134344,0.7733369305480614
LogisticRegression,0.4,0.8480827682955343,0.28189236448416555,0.42313861588264456,0.7122677869421106
LogisticRegression,0.42,0.8045943418283844,0.2908795063606779,0.42728542604376846,0.6466700069374856
LogisticRegression,0.44,0.7533317746083703,0.30070696936466085,0.42983641002551404,0.5775649425730363
LogisticRegression,0.46,0.7001402852466683,0.3118377548098201,0.43149192168446837,0.5093848762815077
LogisticRegression,0.48,0.6454290390460603,0.3251663820012957,0.43245995378529745,0.441609496646882
LogisticRegression,0.5,0.5870937573065232,0.339438999662048,0.43016831555955287,0.3766669236105758
LogisticRegression,0.52,0.5279985971475333,0.35383289592228445,0.42371649037221193,0.31789100439374085
LogisticRegression,0.54,0.46890343698854337,0.368133633151301,0.4124527622818067,0.2653395513759346
LogisticRegression,0.56,0.41202945990180034,0.38212175421477745,0.396512445506961,0.21964850073229014
LogisticRegression,0.58,0.35790273556231,0.4012713808244315,0.37834831773102234,0.17605796654590303
LogisticRegression,0.6,0.30360065466448444,0.4179272610234953,0.35170639219934996,0.13940491790642104
RandomForest,0.2,0.9991816693944353,0.24894416450645152,0.39858232098304847,0.9938333461805288
RandomForest,0.22,0.9986555997194295,0.24932506384531192,0.3990284119439936,0.9912896014799969
RandomForest,0.24,0.9978957212999766,0.24982439709669865,0.3996067599831469,0.9878979418792877
RandomForest,0.26,0.9970189385083003,0.250480931612259,0.40037556481427145,0.9835812842056579
RandomForest,0.28,0.9954407294832827,0.25119846596356665,0.40116368090644616,0.9782818160795498
RandomForest,0.3,0.9917582417582418,0.25233116699632663,0.40230471019217773,0.9688198566252987
RandomForest,0.32,0.9855623100303952,0.25464018726874577,0.4047141845588853,0.951090726894319
RandomForest,0.34,0.972410568155249,0.2579464756411449,0.40773510453175166,0.9222616202882911
