Model,Threshold,Recall,Precision,F1,FPR
RandomForestTuned,0.48,0.030600522193211487,0.41797432239657634,0.05702608018684313,0.006865797223390829
RandomForestTuned,0.5,0.021723237597911227,0.45021645021645024,0.04144664740460297,0.0042742953302482125
RandomForestTuned,0.52,0.013785900783289817,0.4664310954063604,0.02678027997565429,0.002541018090029449
RandomForestTuned,0.54,0.008877284595300261,0.4913294797687861,0.017439474764054164,0.001480858224652924
RandomForestTuned,0.56,0.006161879895561358,0.5462962962962963,0.012186305896932769,0.0008245687841817417
RandomForestTuned,0.58,0.003342036553524804,0.5818181818181818,0.006645898234683281,0.0003870424905342869
RandomForestTuned,0.6,0.0017754569190600521,0.5666666666666667,0.0035398230088495575,0.00021876314682372738
ExtraTrees,0.2,1.0,0.13876811594202898,0.2437161947184219,1.0
ExtraTrees,0.22,1.0,0.13876811594202898,0.2437161947184219,1.0
ExtraTrees,0.24,1.0,0.13877012710329134,0.2437192964593886,0.9999831720656289
ExtraTrees,0.26,0.9997911227154047,0.1387793563351696,0.24372732480427725,0.999697097181321
ExtraTrees,0.28,0.999686684073107,0.13890581918444347,0.24391922023316556,0.9985359697097181
ExtraTrees,0.3,0.9986422976501306,0.13918891379661708,0.24432435194767033,0.9951367269667648
ExtraTrees,0.32,0.9956135770234987,0.13984567539021242,0.2452439447924572,0.9867059318468658
ExtraTrees,0.34,0.9876762402088772,0.14126521771603556,0.2471772085729221,0.9674042911232646
ExtraTrees,0.36,0.9696083550913838,0.14397146623245716,0.25071563597083446,0.9289188052166597
ExtraTrees,0.38,0.9382767624020888,0.14866542006586023,0.2566637145387538,0.8657467395877156
ExtraTrees,0.4,0.8855352480417754,0.15491002101032247,0.26369149432436634,0.7783929322675641
ExtraTrees,0.42,0.8243342036553525,0.16438612933458294,0.27411008855704116,0.6751703828355069
ExtraTrees,0.44,0.747467362924282,0.17453969028167296,0.2829972321075524,0.5695919225915019
ExtraTrees,0.46,0.6617232375979112,0.18628719275549807,0.29072888705347927,0.46572991165334454
ExtraTrees,0.48,0.5803655352480418,0.1998705175700464,0.2973406816844133,0.3743542280185107
ExtraTrees,0.5,0.4921148825065274,0.2121089354040063,0.2964454230890217,0.2945393352965923
ExtraTrees,0.52,0.41201044386422975,0.2279292812572221,0.29349402968418703,0.2248716870004207
ExtraTrees,0.54,0.3386945169712794,0.24579354251932697,0.2848609952127893,0.16745477492637778
ExtraTrees,0.56,0.2694516971279373,0.26291653928462244,0.26614400660202187,0.12171644930584771
ExtraTrees,0.58,0.20804177545691907,0.2846527579308374,0.24039099740541844,0.0842406394615061
ExtraTrees,0.6,0.1522715404699739,0.29956852270392437,0.20191109264644785,0.05736642827092974
ExtraTreesTuned,0.2,0.9668929503916449,0.1442730247779336,0.25108142924944066,0.9240555321834245
ExtraTreesTuned,0.22,0.92177545691906,0.15082538706039167,0.2592336950934751,0.8362137147665124
ExtraTreesTuned,0.24,0.8493994778067885,0.16007321681624942,0.269380454763758,0.7181320992848128
