Recall@Threshold,Precision@Threshold,F1@Threshold,FPR@Threshold,Model,ROC-AUC,PR-AUC,LogLoss,BrierScore,BalancedAccuracy@Threshold
0.8855352480417754,0.15491002101032247,0.26369149432436634,0.7783929322675641,ExtraTrees,0.6400128735894797,0.22875125929695478,0.6419692773138489,0.22477915793484055,0.5535711578871056
0.8392689295039164,0.1612197813220985,0.27048131942107034,0.7035591081194783,LogisticRegression,0.6391121160029042,0.2338103131813755,0.6602623337538928,0.233692904048427,0.567854910692219
0.7896605744125327,0.16816048751195428,0.2772745608566504,0.6293984013462347,RandomForest,0.6391381689845352,0.22791090519960153,0.6120047265275258,0.2103247770121893,0.5801310865331489
0.20678851174934726,0.29882281919710235,0.24442935621257947,0.07818258308792596,XGBoostRaw,0.6435801276594342,0.23942166248446203,0.4282986895663264,0.12970544397830963,0.5643029643307107
0.20553524804177545,0.29307520476545046,0.2416206261510129,0.07988220445940261,ExtraTreesTuned,0.6418275786997015,0.23379261513186755,0.4560076816131207,0.13933580901367568,0.5628265217911864
0.113733681462141,0.3489266260813842,0.1715500945179584,0.0341943626419857,RandomForestTuned,0.6413808695384731,0.2359223434683998,0.4265983638142954,0.12793139008094087,0.5397696594100776
0.027989556135770234,0.4444444444444444,0.05266260561996463,0.005637358014303744,GradientBoosting,0.6451643340059381,0.24009549078177417,0.3854416367385067,0.11482821811381551,0.5111760990607332
0.026318537859007833,0.45569620253164556,0.04976303317535545,0.0050652082456878415,XGBoostCalibrated,0.6435261385492608,0.24062588039808874,0.3869068184646029,0.11513214887569508,0.51062666480666
0.02318537859007833,0.46443514644351463,0.04416592062071024,0.004307951198990324,XGBoostCalibratedTuned,0.6449089114457414,0.24079424845591715,0.38553389624772366,0.11482887174093517,0.509438713695544
