mean_predicted_risk,fraction_positive,model
0.07699384752727079,0.031081888822474597,LogisticRegression
0.1561174586432216,0.04897806580259222,LogisticRegression
0.2512340089111379,0.06790945406125166,LogisticRegression
0.34982904359882705,0.08559704554780467,LogisticRegression
0.44852954223200714,0.12474328065005805,LogisticRegression
0.5486206601989735,0.17390844698171054,LogisticRegression
0.6478687615368126,0.2708143914794129,LogisticRegression
0.7470479726925088,0.4102375253176211,LogisticRegression
0.8434775314782048,0.6168368926029093,LogisticRegression
0.9285808211068067,0.7655719139297849,LogisticRegression
0.07997701117718528,0.0,RandomForest
0.16042179752990235,0.02262727844123193,RandomForest
0.25439882926691787,0.05648237772590104,RandomForest
0.34762613943765713,0.09948706386336734,RandomForest
0.44611701592570874,0.15792747955918948,RandomForest
0.5469628313624865,0.2361344537815126,RandomForest
0.6483977422357267,0.3594252221591983,RandomForest
0.7476457982717738,0.5161369193154034,RandomForest
0.8416173202635943,0.696875,RandomForest
0.9149553655021623,0.8192771084337349,RandomForest
0.07043275231075971,0.022566179661507306,RandomForestTuned
0.1493826076709886,0.07278162154900249,RandomForestTuned
0.24284158303936573,0.14527590681579436,RandomForestTuned
0.34489055605746294,0.2502710027100271,RandomForestTuned
0.4467635777279812,0.34064637886293936,RandomForestTuned
0.5472764819638136,0.4746278755074425,RandomForestTuned
0.6483307355914188,0.6146672318779144,RandomForestTuned
0.7440158580195197,0.7504564820450396,RandomForestTuned
0.828391138876108,0.7840909090909091,RandomForestTuned
0.9067501565287557,1.0,RandomForestTuned
0.17981560523475762,0.025303643724696356,ExtraTrees
0.2612722942798617,0.040932597072486636,ExtraTrees
0.3509635916171109,0.07543688822836057,ExtraTrees
0.44737838373176986,0.13487690504103164,ExtraTrees
0.5461323257697286,0.23658766150423546,ExtraTrees
0.6452885675373573,0.39636891793754536,ExtraTrees
0.7415583463773794,0.5697372220617961,ExtraTrees
0.8282515529681495,0.7496855345911949,ExtraTrees
0.08756705318935017,0.014592933947772658,ExtraTreesTuned
0.15734568690232564,0.05212204634090388,ExtraTreesTuned
0.2459365605246003,0.1080263881253436,ExtraTreesTuned
0.34507853122089244,0.19383157240522064,ExtraTreesTuned
0.44498867333032865,0.3318010865022984,ExtraTreesTuned
0.544381753814906,0.4962816063460585,ExtraTreesTuned
0.6427205403077833,0.6628712871287129,ExtraTreesTuned
