feature,importance
hrv_drop,0.21391743
stress_level,0.21316104
sleep_debt_3d,0.086577356
injured_yesterday,0.084606424
load_recovery_imbalance,0.047527917
history_injury_count,0.045553867
muscle_soreness,0.03748758
daily_distance_km,0.025832139
sleep_hours,0.016038189
workout_intensity_minutes,0.013610688
active_calories_burned,0.013308504
acwr_ratio,0.011860451
acwr_ratio_ma7,0.010030024
elevation_gained_m,0.009438594
vo2_max,0.009364262
floors_climbed,0.009283534
acute_load_7d,0.009107415
energy_level,0.0090310685
hrv_score,0.009013043
respiratory_rate,0.008441263
spo2,0.008367834
sleep_hours_ma7,0.008107089
bmi,0.008045751
avg_power,0.008014788
max_speed,0.007909344
speed_intensity_ratio,0.007863563
calorie_balance,0.007854064
age,0.00771913
total_calories_burned,0.0077161524
nutrition_intake_calories,0.0077095507
daily_calories,0.007666486
avg_cadence,0.007623998
body_fat_pct,0.0075124656
avg_speed,0.007357756
resting_hr,0.0073412666
