Recall@Threshold,Precision@Threshold,F1@Threshold,FPR@Threshold,Model,ROC-AUC,PR-AUC,LogLoss,BrierScore,BalancedAccuracy@Threshold
0.5700843608046723,0.4432391523713421,0.4987226795344877,0.14843960182943233,XGBoostCalibrated,0.7924509245605325,0.5039657185027325,0.3733624393532047,0.11324272429598216,0.71082237948762
0.6258922777417262,0.4034720769713449,0.49065242273941245,0.19182136131288674,XGBoostCalibratedTuned,0.792663749452897,0.5035761976226218,0.3693991354328651,0.11251198029151553,0.7170354582144197
0.6223231667748216,0.40487624676763945,0.49058413530709466,0.1896186440677966,XGBoostDeepCalibrated,0.7918081357455451,0.5029091595858766,0.3699149730489677,0.11260328459430904,0.7163522613535125
0.6382219338092148,0.3950989253791303,0.48805905340859745,0.20254909873553942,GradientBoosting,0.7922223045768368,0.5020208222331523,0.3685934793411769,0.11246604724710829,0.7178364175368377
0.8296560674886437,0.2752940543159368,0.41341120834259615,0.45273405972558517,XGBoostRaw,0.7918843328592065,0.503010298095445,0.3925612041428494,0.12059851735830307,0.6884610038815293
0.8536664503569111,0.26050149756182084,0.39918827166347415,0.5023372343287598,RandomForestTuned,0.7889939593558508,0.4937624317277219,0.395284871198796,0.11991632137190981,0.6756646080140757
0.8872485399091499,0.24561561089529113,0.3847276692284694,0.5648876782351359,XGBoostDeep,0.7913305362661898,0.5022474546959381,0.41426300810639677,0.1285972148180008,0.6611804308370071
0.9356748864373783,0.2131650435200414,0.3472253578362758,0.7159335485606672,ExtraTreesTuned,0.777262428568897,0.47094075836859306,0.42865972452528084,0.13113502386578568,0.6098706689383555
0.972420506164828,0.1869182193809932,0.3135634228319579,0.8768327952649987,LogisticRegression,0.765097738151105,0.46197662187117533,0.580968536958523,0.19797214369580943,0.5477938554499147
0.9951330304996755,0.18182896101971247,0.30747637785408155,0.928201506591337,RandomForest,0.7881352740586989,0.48684735165102727,0.5273168840273691,0.1730107514136833,0.5334657619541692
0.9994321868916288,0.17257269314807552,0.2943242081123692,0.9933245897228948,ExtraTrees,0.7695465022437554,0.4474138846529424,0.5753352034577712,0.19389141827219997,0.503053798584367
